title,POLT,ALT,PALT,ETT,AET,director,year,Display
Comment je me suis disputé... (ma vie sexuelle),,,,My Sex Life... or How I Got into an Argument,,Arnaud Desplechin,1996,"Comment je me suis disputé... (ma vie sexuelle) [My Sex Life... or How I Got into an Argument] (Arnaud Desplechin, 1996)"
Esther Kahn,,,,,,Arnaud Desplechin,2000,"Esther Kahn (Arnaud Desplechin, 2000)"
Rois et Reine,,,,Kings & Queen,,Arnaud Desplechin,2004,"Rois et Reine [Kings & Queen] (Arnaud Desplechin, 2004)"
Un conte de Noël,,,,A Christmas Tale,,Arnaud Desplechin,2008,"Un conte de Noël [A Christmas Tale] (Arnaud Desplechin, 2008)"
Jimmy P.,,,,,,Arnaud Desplechin,2013,"Jimmy P. (Arnaud Desplechin, 2013)"
Trois souvenirs de ma jeunesse,,,,My Golden Days,,Arnaud Desplechin,2015,"Trois souvenirs de ma jeunesse [My Golden Days] (Arnaud Desplechin, 2015)"
Les Fantômes d'Ismaël,,,,Ismael's Ghosts,,Arnaud Desplechin,2017,"Les Fantômes d'Ismaël [Ismael's Ghosts] (Arnaud Desplechin, 2017)"
"Roubaix, une lumière",,,,Oh Mercy!,,Arnaud Desplechin,2019,"Roubaix, une lumière [Oh Mercy!] (Arnaud Desplechin, 2019)"
Tromperie,,,,Deception,,Arnaud Desplechin,2021,"Tromperie [Deception] (Arnaud Desplechin, 2021)"
چهارشنبه سوری,Chaharshanbe-soori,,,Fireworks Wednesday,,Asghar Farhadi,2006,"چهارشنبه سوری [Chaharshanbe-soori] [Fireworks Wednesday] (Asghar Farhadi, 2006)"
درباره الی,Dar bāre-ye Elly,,,About Elly,,Asghar Farhadi,2009,"درباره الی [Dar bāre-ye Elly] [About Elly] (Asghar Farhadi, 2009)"
جدایی,Jodaeiye Nader az Simin,,,A Separation,,Asghar Farhadi,2011,"جدایی [Jodaeiye Nader az Simin] [A Separation] (Asghar Farhadi, 2011)"
Le Passé,,گذشته,Gozashte,The Past,,Asghar Farhadi,2013,"Le Passé [گذشته] [Gozashte] [The Past] (Asghar Farhadi, 2013)"
Le Client,,فروشنده,Forushande,The Salesman,,Asghar Farhadi,2016,"Le Client [فروشنده] [Forushande] [The Salesman] (Asghar Farhadi, 2016)"
Det hemmelighedsfulde X,,,,The Mysterious X,,Benjamin Christensen,1914,"Det hemmelighedsfulde X [The Mysterious X] (Benjamin Christensen, 1914)"
Hævnens nat,,,,Blind Justice,,Benjamin Christensen,1916,"Hævnens nat [Blind Justice] (Benjamin Christensen, 1916)"
Häxan,,,,Witchcraft Through the Ages,,Benjamin Christensen,1922,"Häxan [Witchcraft Through the Ages] (Benjamin Christensen, 1922)"
La môme vert-de-gris,,,,Poison Ivy,,Bernard Borderie,1953,"La môme vert-de-gris [Poison Ivy] (Bernard Borderie, 1953)"
L'Idée,,,,The Idea,,Berthold Bartosch,1932,"L'Idée [The Idea] (Berthold Bartosch, 1932)"
The Major and the Minor,,,,,,Billy Wilder,1942,"The Major and the Minor (Billy Wilder, 1942)"
Five Graves to Cairo,,,,,,Billy Wilder,1943,"Five Graves to Cairo (Billy Wilder, 1943)"
Double Indemnity,,,,,,Billy Wilder,1944,"Double Indemnity (Billy Wilder, 1944)"
The Lost Weekend,,,,,,Billy Wilder,1945,"The Lost Weekend (Billy Wilder, 1945)"
A Foreign Affair,,,,,,Billy Wilder,1948,"A Foreign Affair (Billy Wilder, 1948)"
Sunset Blvd.,,,,,,Billy Wilder,1950,"Sunset Blvd. (Billy Wilder, 1950)"
Ace in the Hole,,,,,,Billy Wilder,1951,"Ace in the Hole (Billy Wilder, 1951)"
Stalag 17,,,,,,Billy Wilder,1953,"Stalag 17 (Billy Wilder, 1953)"
Sabrina,,,,,,Billy Wilder,1954,"Sabrina (Billy Wilder, 1954)"
The Seven Year Itch,,,,,,Billy Wilder,1955,"The Seven Year Itch (Billy Wilder, 1955)"
Love in the Afternoon,,,,,,Billy Wilder,1957,"Love in the Afternoon (Billy Wilder, 1957)"
The Spirit of St. Louis,,,,,,Billy Wilder,1957,"The Spirit of St. Louis (Billy Wilder, 1957)"
Witness for the Prosecution,,,,,,Billy Wilder,1957,"Witness for the Prosecution (Billy Wilder, 1957)"
Some Like It Hot,,,,,,Billy Wilder,1959,"Some Like It Hot (Billy Wilder, 1959)"
The Apartment,,,,,,Billy Wilder,1960,"The Apartment (Billy Wilder, 1960)"
"One, Two, Three",,,,,,Billy Wilder,1961,"One, Two, Three (Billy Wilder, 1961)"
Irma la Douce,,,,,,Billy Wilder,1963,"Irma la Douce (Billy Wilder, 1963)"
"Kiss Me, Stupid",,,,,,Billy Wilder,1964,"Kiss Me, Stupid (Billy Wilder, 1964)"
The Fortune Cookie,,,,,,Billy Wilder,1966,"The Fortune Cookie (Billy Wilder, 1966)"
The Private Life of Sherlock Holmes,,,,,,Billy Wilder,1970,"The Private Life of Sherlock Holmes (Billy Wilder, 1970)"
Avanti!,,,,,,Billy Wilder,1972,"Avanti! (Billy Wilder, 1972)"
The Front Page,,,,,,Billy Wilder,1974,"The Front Page (Billy Wilder, 1974)"
Fedora,,,,,,Billy Wilder,1978,"Fedora (Billy Wilder, 1978)"
Sherlock Jr.,,,,,,Buster Keaton,1924,"Sherlock Jr. (Buster Keaton, 1924)"
Go West,,,,,,Buster Keaton,1925,"Go West (Buster Keaton, 1925)"
Seven Chances,,,,,,Buster Keaton,1925,"Seven Chances (Buster Keaton, 1925)"
Battling Butler,,,,,,Buster Keaton,1926,"Battling Butler (Buster Keaton, 1926)"
"Steamboat Bill, Jr.",,,,,,Chas Reisner & Buster Keaton,1928,"Steamboat Bill, Jr. (Chas Reisner & Buster Keaton, 1928)"
The General,,,,,,Buster Keaton & Clyde Bruckman,1926,"The General (Buster Keaton & Clyde Bruckman, 1926)"
The Navigator,,,,,,Buster Keaton & Donald Crisp,1924,"The Navigator (Buster Keaton & Donald Crisp, 1924)"
One Week,,,,,,Buster Keaton & Eddie Cline,1920,"One Week (Buster Keaton & Eddie Cline, 1920)"
The Scarecrow,,,,,,Buster Keaton & Eddie Cline,1920,"The Scarecrow (Buster Keaton & Eddie Cline, 1920)"
Neighbors,,,,,,Buster Keaton & Eddie Cline,1920,"Neighbors (Buster Keaton & Eddie Cline, 1920)"
The Boat,,,,,,Buster Keaton & Eddie Cline,1921,"The Boat (Buster Keaton & Eddie Cline, 1921)"
The Haunted House,,,,,,Buster Keaton & Eddie Cline,1921,"The Haunted House (Buster Keaton & Eddie Cline, 1921)"
The 'High Sign',,,,,,Buster Keaton & Eddie Cline,1921,"The 'High Sign' (Buster Keaton & Eddie Cline, 1921)"
Cops,,,,,,Buster Keaton & Eddie Cline,1922,"Cops (Buster Keaton & Eddie Cline, 1922)"
The Electric House,,,,,,Buster Keaton & Eddie Cline,1922,"The Electric House (Buster Keaton & Eddie Cline, 1922)"
Three Ages,,,,,,Buster Keaton & Eddie Cline,1923,"Three Ages (Buster Keaton & Eddie Cline, 1923)"
The Cameraman,,,,,,Edward Sedgwick & Buster Keaton,1928,"The Cameraman (Edward Sedgwick & Buster Keaton, 1928)"
The Railrodder,,,,,,Gerald Potterton & Buster Keaton,1965,"The Railrodder (Gerald Potterton & Buster Keaton, 1965)"
College,,,,,,Buster Keaton & James W. Horne,1927,"College (Buster Keaton & James W. Horne, 1927)"
Our Hospitality,,,,,,Buster Keaton & John G. Blystone,1923,"Our Hospitality (Buster Keaton & John G. Blystone, 1923)"
The Goat,,,,,,Buster Keaton & Malcolm St. Clair,1921,"The Goat (Buster Keaton & Malcolm St. Clair, 1921)"
The Blacksmith,,,,,,Buster Keaton & Malcolm St. Clair,1922,"The Blacksmith (Buster Keaton & Malcolm St. Clair, 1922)"
Præsidenten,,,,The President,,Carl Th. Dreyer,1919,"Præsidenten [The President] (Carl Th. Dreyer, 1919)"
Blade af Satans bog,,,,Leaves from Satan's Book,,Carl Th. Dreyer,1920,"Blade af Satans bog [Leaves from Satan's Book] (Carl Th. Dreyer, 1920)"
Prästänkan,,,,The Parson's Widow,,Carl Th. Dreyer,1920,"Prästänkan [The Parson's Widow] (Carl Th. Dreyer, 1920)"
Die Gezeichneten,,,,Love One Another,,Carl Th. Dreyer,1922,"Die Gezeichneten [Love One Another] (Carl Th. Dreyer, 1922)"
Mikaël,,,,Michael,,Carl Th. Dreyer,1924,"Mikaël [Michael] (Carl Th. Dreyer, 1924)"
Du skal ære din hustru,,,,Master of the House,,Carl Th. Dreyer,1925,"Du skal ære din hustru [Master of the House] (Carl Th. Dreyer, 1925)"
Glomdalsbruden,,,,The Bride of Glomdal,,Carl Th. Dreyer,1926,"Glomdalsbruden [The Bride of Glomdal] (Carl Th. Dreyer, 1926)"
La Passion de Jeanne d'Arc,,,,The Passion of Joan of Arc,,Carl Th. Dreyer,1928,"La Passion de Jeanne d'Arc [The Passion of Joan of Arc] (Carl Th. Dreyer, 1928)"
Vampyr – Der Traum des Allan Grey,,,,,,Carl Th. Dreyer,1932,"Vampyr – Der Traum des Allan Grey (Carl Th. Dreyer, 1932)"
Vredens dag,,,,Day of Wrath,,Carl Th. Dreyer,1943,"Vredens dag [Day of Wrath] (Carl Th. Dreyer, 1943)"
Två människor,,,,Two People,,Carl Th. Dreyer,1945,"Två människor [Two People] (Carl Th. Dreyer, 1945)"
De nåede færgen,,,,They Caught the Ferry,,Carl Th. Dreyer,1948,"De nåede færgen [They Caught the Ferry] (Carl Th. Dreyer, 1948)"
Ordet,,,,The Word,,Carl Th. Dreyer,1955,"Ordet [The Word] (Carl Th. Dreyer, 1955)"
Gertrud,,,,,,Carl Th. Dreyer,1964,"Gertrud (Carl Th. Dreyer, 1964)"
Amore e rabbia,,,,Love and Anger,,"Carlo Lizzani, Bernardo Bertolucci, Pier Paolo Pasolini, Jean-Luc Godard, Marco Bellocchio & Elda Tattoli",1969,"Amore e rabbia [Love and Anger] (Carlo Lizzani, Bernardo Bertolucci, Pier Paolo Pasolini, Jean-Luc Godard, Marco Bellocchio & Elda Tattoli, 1969)"
Grand Slam Opera,,,,,,Charles Lamont,1936,"Grand Slam Opera (Charles Lamont, 1936)"
Good News,,,,,,Charles Walters,1947,"Good News (Charles Walters, 1947)"
Easter Parade,,,,,,Charles Walters,1948,"Easter Parade (Charles Walters, 1948)"
The Barkleys of Broadway,,,,,,Charles Walters,1949,"The Barkleys of Broadway (Charles Walters, 1949)"
Summer Stock,,,,,,Charles Walters,1950,"Summer Stock (Charles Walters, 1950)"
Dangerous When Wet,,,,,,Charles Walters,1953,"Dangerous When Wet (Charles Walters, 1953)"
Lili,,,,,,Charles Walters,1953,"Lili (Charles Walters, 1953)"
The Tender Trap,,,,,,Charles Walters,1955,"The Tender Trap (Charles Walters, 1955)"
High Society,,,,,,Charles Walters,1956,"High Society (Charles Walters, 1956)"
The Thing from Another World,,,,,,Christian Nyby,1951,"The Thing from Another World (Christian Nyby, 1951)"
Die innere Sicherheit,,,,The State I Am In,,Christian Petzold,2000,"Die innere Sicherheit [The State I Am In] (Christian Petzold, 2000)"
Gespenster,,,,Ghosts,,Christian Petzold,2005,"Gespenster [Ghosts] (Christian Petzold, 2005)"
Yella,,,,,,Christian Petzold,2007,"Yella (Christian Petzold, 2007)"
Barbara,,,,,,Christian Petzold,2012,"Barbara (Christian Petzold, 2012)"
Phoenix,,,,,,Christian Petzold,2014,"Phoenix (Christian Petzold, 2014)"
Transit,,,,,,Christian Petzold,2018,"Transit (Christian Petzold, 2018)"
Undine,,,,,,Christian Petzold,2020,"Undine (Christian Petzold, 2020)"
Les Disparus de Saint-Agil,,,,Boys' School,,Christian-Jaque,1938,"Les Disparus de Saint-Agil [Boys' School] (Christian-Jaque, 1938)"
Un revenant,,,,A Lover's Return,,Christian-Jaque,1946,"Un revenant [A Lover's Return] (Christian-Jaque, 1946)"
Fanfan la Tulipe,,,,,,Christian-Jaque,1951,"Fanfan la Tulipe (Christian-Jaque, 1951)"
Lettres d'amour,,,,Love Letters,,Claude Autant-Lara,1942,"Lettres d'amour [Love Letters] (Claude Autant-Lara, 1942)"
Le Mariage de Chiffon,,,,The Marriage of Chiffon,,Claude Autant-Lara,1942,"Le Mariage de Chiffon [The Marriage of Chiffon] (Claude Autant-Lara, 1942)"
Douce,,,,Love Story,,Claude Autant-Lara,1943,"Douce [Love Story] (Claude Autant-Lara, 1943)"
Sylvie et le fantôme,,,,Sylvie and the Ghost,,Claude Autant-Lara,1946,"Sylvie et le fantôme [Sylvie and the Ghost] (Claude Autant-Lara, 1946)"
Le Diable au corps,,,,Devil in the Flesh,,Claude Autant-Lara,1947,"Le Diable au corps [Devil in the Flesh] (Claude Autant-Lara, 1947)"
Occupe-toi d'Amélie,,,,Keep an Eye on Amelia,,Claude Autant-Lara,1949,"Occupe-toi d'Amélie [Keep an Eye on Amelia] (Claude Autant-Lara, 1949)"
L'Auberge rouge,,,,The Red Inn,,Claude Autant-Lara,1951,"L'Auberge rouge [The Red Inn] (Claude Autant-Lara, 1951)"
La Traversée de Paris,,,,Four Bags Full,,Claude Autant-Lara,1956,"La Traversée de Paris [Four Bags Full] (Claude Autant-Lara, 1956)"
Le Beau Serge,,,,,,Claude Chabrol,1958,"Le Beau Serge (Claude Chabrol, 1958)"
À double tour,,,,Web of Passion,,Claude Chabrol,1959,"À double tour [Web of Passion] (Claude Chabrol, 1959)"
Les Cousins,,,,,,Claude Chabrol,1959,"Les Cousins (Claude Chabrol, 1959)"
Les Bonnes Femmes,,,,,,Claude Chabrol,1960,"Les Bonnes Femmes (Claude Chabrol, 1960)"
Les Godelureaux,,,,Wise Guys,,Claude Chabrol,1961,"Les Godelureaux [Wise Guys] (Claude Chabrol, 1961)"
L'Œil du Malin,,,,The Third Lover,,Claude Chabrol,1962,"L'Œil du Malin [The Third Lover] (Claude Chabrol, 1962)"
Ophélia,,,,,,Claude Chabrol,1963,"Ophélia (Claude Chabrol, 1963)"
Le tigre aime la chair fraîche,,,,Code Name: Tiger,,Claude Chabrol,1964,"Le tigre aime la chair fraîche [Code Name: Tiger] (Claude Chabrol, 1964)"
La Ligne de démarcation,,,,Line of Demarcation,,Claude Chabrol,1966,"La Ligne de démarcation [Line of Demarcation] (Claude Chabrol, 1966)"
Les Biches,,,,,,Claude Chabrol,1968,"Les Biches (Claude Chabrol, 1968)"
La Femme infidèle,,,,The Unfaithful Wife,,Claude Chabrol,1969,"La Femme infidèle [The Unfaithful Wife] (Claude Chabrol, 1969)"
Que la bête meure,,,,This Man Must Die,,Claude Chabrol,1969,"Que la bête meure [This Man Must Die] (Claude Chabrol, 1969)"
Le Boucher,,,,The Butcher,,Claude Chabrol,1970,"Le Boucher [The Butcher] (Claude Chabrol, 1970)"
La Rupture,,,,The Breach,,Claude Chabrol,1970,"La Rupture [The Breach] (Claude Chabrol, 1970)"
Juste avant la nuit,,,,Just Before Nightfall,,Claude Chabrol,1971,"Juste avant la nuit [Just Before Nightfall] (Claude Chabrol, 1971)"
La Décade prodigieuse,,,,Ten Days' Wonder,,Claude Chabrol,1972,"La Décade prodigieuse [Ten Days' Wonder] (Claude Chabrol, 1972)"
Les Noces rouges,,,,Wedding in Blood,,Claude Chabrol,1973,"Les Noces rouges [Wedding in Blood] (Claude Chabrol, 1973)"
Nada,,,,The Nada Gang,,Claude Chabrol,1974,"Nada [The Nada Gang] (Claude Chabrol, 1974)"
Les Innocents aux mains sales,,,,Innocents with Dirty Hands,,Claude Chabrol,1975,"Les Innocents aux mains sales [Innocents with Dirty Hands] (Claude Chabrol, 1975)"
Une partie de plaisir,,,,Pleasure Party,,Claude Chabrol,1975,"Une partie de plaisir [Pleasure Party] (Claude Chabrol, 1975)"
Alice ou la Dernière Fugue,,,,Alice or the Last Escapade,,Claude Chabrol,1977,"Alice ou la Dernière Fugue [Alice or the Last Escapade] (Claude Chabrol, 1977)"
Violette Nozière,,,,,,Claude Chabrol,1978,"Violette Nozière (Claude Chabrol, 1978)"
Les Fantômes du chapelier,,,,The Hatter's Ghost,,Claude Chabrol,1982,"Les Fantômes du chapelier [The Hatter's Ghost] (Claude Chabrol, 1982)"
Masques,,,,Masks,,Claude Chabrol,1987,"Masques [Masks] (Claude Chabrol, 1987)"
Le Cri du hibou,,,,The Cry of the Owl,,Claude Chabrol,1987,"Le Cri du hibou [The Cry of the Owl] (Claude Chabrol, 1987)"
Une affaire de femmes,,,,Story of Women,,Claude Chabrol,1988,"Une affaire de femmes [Story of Women] (Claude Chabrol, 1988)"
Madame Bovary,,,,,,Claude Chabrol,1991,"Madame Bovary (Claude Chabrol, 1991)"
L'Enfer,,,,Torment,,Claude Chabrol,1994,"L'Enfer [Torment] (Claude Chabrol, 1994)"
La Cérémonie,,,,,,Claude Chabrol,1995,"La Cérémonie (Claude Chabrol, 1995)"
Rien ne va plus,,,,The Swindle,,Claude Chabrol,1997,"Rien ne va plus [The Swindle] (Claude Chabrol, 1997)"
Au cœur du mensonge,,,,The Color of Lies,,Claude Chabrol,1998,"Au cœur du mensonge [The Color of Lies] (Claude Chabrol, 1998)"
Merci pour le chocolat,,,,Nightcap,,Claude Chabrol,2000,"Merci pour le chocolat [Nightcap] (Claude Chabrol, 2000)"
La Fleur du mal,,,,The Flower of Evil,,Claude Chabrol,2002,"La Fleur du mal [The Flower of Evil] (Claude Chabrol, 2002)"
La Demoiselle d'honneur,,,,The Bridesmaid,,Claude Chabrol,2004,"La Demoiselle d'honneur [The Bridesmaid] (Claude Chabrol, 2004)"
La Parure,,,,,,Claude Chabrol,2007,"La Parure (Claude Chabrol, 2007)"
Bellamy,,,,Inspector Bellamy,,Claude Chabrol,2009,"Bellamy [Inspector Bellamy] (Claude Chabrol, 2009)"
Le Fauteuil hanté,,,,The Haunted Chair,,Claude Chabrol,2010,"Le Fauteuil hanté [The Haunted Chair] (Claude Chabrol, 2010)"
The Arbor,,,,,,Clio Barnard,2010,"The Arbor (Clio Barnard, 2010)"
The Selfish Giant,,,,,,Clio Barnard,2013,"The Selfish Giant (Clio Barnard, 2013)"
Daybreak Express,,,,,,D.A. Pennebaker,1953,"Daybreak Express (D.A. Pennebaker, 1953)"
Dont Look Back,,,,,,D.A. Pennebaker,1967,"Dont Look Back (D.A. Pennebaker, 1967)"
Monterey Pop,,,,,,D.A. Pennebaker,1968,"Monterey Pop (D.A. Pennebaker, 1968)"
Original Cast Album: Company,,,,,,D.A. Pennebaker,1970,"Original Cast Album: Company (D.A. Pennebaker, 1970)"
Ziggy Stardust and the Spiders from Mars,,,,,,D.A. Pennebaker,1973,"Ziggy Stardust and the Spiders from Mars (D.A. Pennebaker, 1973)"
The War Room,,,,,,D.A. Pennebaker & Chris Hegedus,1993,"The War Room (D.A. Pennebaker & Chris Hegedus, 1993)"
制服,Zhifu,,,Uniform,,Diao Yi'nan,2003,"制服 [Zhifu] [Uniform] (Diao Yi'nan, 2003)"
夜行列车,Ye che,,,Night Train,,Diao Yi'nan,2007,"夜行列车 [Ye che] [Night Train] (Diao Yi'nan, 2007)"
白日焰火,Bai ri yan huo,,,"Black Coal, Thin Ice",,Diao Yi'nan,2014,"白日焰火 [Bai ri yan huo] [Black Coal, Thin Ice] (Diao Yi'nan, 2014)"
南方车站的聚会,Nanfang chezhan de juhui,,,The Wild Goose Lake,,Diao Yi'nan,2019,"南方车站的聚会 [Nanfang chezhan de juhui] [The Wild Goose Lake] (Diao Yi'nan, 2019)"
Monsieur Coccinelle,,,,,,Dominique Bernard-Deschamps,1938,"Monsieur Coccinelle (Dominique Bernard-Deschamps, 1938)"
Correo de Indias,,,,Indies' Mail,,Edgar Neville,1942,"Correo de Indias [Indies' Mail] (Edgar Neville, 1942)"
La torre de los siete jorobados,,,,Tower of the Seven Hunchbacks,,Edgar Neville,1944,"La torre de los siete jorobados [Tower of the Seven Hunchbacks] (Edgar Neville, 1944)"
Domingo de carnaval,,,,Carnival Sunday,,Edgar Neville,1945,"Domingo de carnaval [Carnival Sunday] (Edgar Neville, 1945)"
La vida en un hilo,,,,Life on a Thread,,Edgar Neville,1945,"La vida en un hilo [Life on a Thread] (Edgar Neville, 1945)"
El último caballo,,,,The Last Horse,,Edgar Neville,1950,"El último caballo [The Last Horse] (Edgar Neville, 1950)"
Duende y misterio del flamenco,,,,Flamenco,,Edgar Neville,1952,"Duende y misterio del flamenco [Flamenco] (Edgar Neville, 1952)"
El baile,,,,The Dance,,Edgar Neville,1959,"El baile [The Dance] (Edgar Neville, 1959)"
La ironía del dinero,,Bonjour la chance,,,,Edgar Neville & Guy Lefranc,1957,"La ironía del dinero [Bonjour la chance] (Edgar Neville & Guy Lefranc, 1957)"
Kommunikation,,,,,,Edgar Reitz,1961,"Kommunikation (Edgar Reitz, 1961)"
Mahlzeiten,,,,Lust for Love,,Edgar Reitz,1967,"Mahlzeiten [Lust for Love] (Edgar Reitz, 1967)"
Stunde Null,,,,Zero Hour,,Edgar Reitz,1977,"Stunde Null [Zero Hour] (Edgar Reitz, 1977)"
Heimat – Eine Chronik in elf Teilen,,,,,,Edgar Reitz,1984,"Heimat – Eine Chronik in elf Teilen (Edgar Reitz, 1984)"
Die Zweite Heimat – Chronik Einer Jugend,,,,Heimat 2: Chronicle of a Generation,,Edgar Reitz,1992,"Die Zweite Heimat – Chronik Einer Jugend [Heimat 2: Chronicle of a Generation] (Edgar Reitz, 1992)"
Heimat 3 – Chronik einer Zeitenwende,,,,Heimat 3: A Chronicle of Endings and Beginnings,,Edgar Reitz,2004,"Heimat 3 – Chronik einer Zeitenwende [Heimat 3: A Chronicle of Endings and Beginnings] (Edgar Reitz, 2004)"
Die andere Heimat,,,,Home from Home: Chronicle of a Vision,,Edgar Reitz,2013,"Die andere Heimat [Home from Home: Chronicle of a Vision] (Edgar Reitz, 2013)"
A New Leaf,,,,,,Elaine May,1971,"A New Leaf (Elaine May, 1971)"
The Heartbreak Kid,,,,,,Elaine May,1972,"The Heartbreak Kid (Elaine May, 1972)"
Mikey and Nicky,,,,,,Elaine May,1976,"Mikey and Nicky (Elaine May, 1976)"
Ishtar,,,,,,Elaine May,1987,"Ishtar (Elaine May, 1987)"
L'assassino,,,,The Assassin,,Elio Petri,1961,"L'assassino [The Assassin] (Elio Petri, 1961)"
I giorni contati,,,,His Days Are Numbered,,Elio Petri,1962,"I giorni contati [His Days Are Numbered] (Elio Petri, 1962)"
La decima vittima,,,,The 10th Victim,,Elio Petri,1965,"La decima vittima [The 10th Victim] (Elio Petri, 1965)"
Indagine su un cittadino al di sopra di ogni sospetto,,,,Investigation of a Citizen Above Suspicion,,Elio Petri,1970,"Indagine su un cittadino al di sopra di ogni sospetto [Investigation of a Citizen Above Suspicion] (Elio Petri, 1970)"
La classe operaia va in paradiso,,,,Lulu the Tool,,Elio Petri,1971,"La classe operaia va in paradiso [Lulu the Tool] (Elio Petri, 1971)"
La proprietà non è più un furto,,,,Property Is No Longer a Theft,,Elio Petri,1973,"La proprietà non è più un furto [Property Is No Longer a Theft] (Elio Petri, 1973)"
Flor silvestre,,,,Wild Flower,,Emilio Fernández,1943,"Flor silvestre [Wild Flower] (Emilio Fernández, 1943)"
María Candelaria,,,,Portrait of Maria,,Emilio Fernández,1944,"María Candelaria [Portrait of Maria] (Emilio Fernández, 1944)"
Las abandonadas,,,,The Abandoned,,Emilio Fernández,1945,"Las abandonadas [The Abandoned] (Emilio Fernández, 1945)"
Enamorada,,,,In Love,,Emilio Fernández,1946,"Enamorada [In Love] (Emilio Fernández, 1946)"
Maclovia,,,,Damn Beauty,,Emilio Fernández,1948,"Maclovia [Damn Beauty] (Emilio Fernández, 1948)"
La perla,,,,The Pearl,,Emilio Fernández,1948,"La perla [The Pearl] (Emilio Fernández, 1948)"
Río escondido,,,,Hidden River,,Emilio Fernández,1948,"Río escondido [Hidden River] (Emilio Fernández, 1948)"
